date,open,high,low,close,tradecount,date_ordinal,processed_log_return,normalized_outliers_processed_log_return,processed_log_return_wtmra_0,processed_log_return_wtmra_1,processed_log_return_wtmra_2,processed_log_return_wtmra_3,processed_log_return_wtmra_4,processed_log_return_wtmra_5,processed_log_return_wtmra_5_4,processed_log_return_wtmra_5_4_3,processed_log_return_wtmra_5_4_3_2,processed_log_return_wtmra_5_4_3_2_1,processed_log_return_wtmra_5_4_3_2_1_0,processed_log_return_wtmra_0_1,processed_log_return_wtmra_0_1_2,processed_log_return_wtmra_0_1_2_3,processed_log_return_wtmra_0_1_2_3_4,processed_log_return_wtmra_0_1_2_3_4_5
2024-08-18,59491.99,60284.99,58408.92,58427.35,1099730,1723939200.0,-0.018057579517003593,-0.30579955710609236,-0.25576520180979373,-0.07806520969804456,-0.03363090263958955,0.07234276920958609,0.05914473538098263,-0.06982574754923314,-0.010681012168250507,0.06166175704133558,0.028030854401746026,-0.05003435529629854,-0.30579955710609225,-0.3338304115078383,-0.3674613141474279,-0.2951185449378418,-0.23597380955685915,-0.3057995571060923
2024-08-19,58427.35,59617.63,57787.3,59438.5,1636295,1724025600.0,0.017158062435947308,0.24716338582721847,0.2510665466014521,-0.0818360119652754,-0.0022962856346550402,0.08825533279128847,0.05978253338529531,-0.06780872935088701,-0.008026195965591704,0.08022913682569677,0.07793285119104172,-0.00390316077423368,0.24716338582721842,0.1692305346361767,0.16693424900152168,0.25518958179281015,0.31497211517810547,0.24716338582721847
2024-08-20,59438.5,61400.0,58548.23,59013.8,1904519,1724112000.0,-0.007170849698593443,-0.1348539822007494,-0.25553502040190856,-0.028490678243105447,0.06385088875157544,0.09400953191848356,0.05691106167891333,-0.06559976590470779,-0.008688704225794458,0.0853208276926891,0.14917171644426452,0.12068103820115908,-0.13485398220074948,-0.28402569864501404,-0.2201748098934386,-0.12616527797495503,-0.0692542162960417,-0.13485398220074948
2024-08-21,59013.8,61820.93,58783.47,61156.03,1981525,1724198400.0,0.03565715238614722,0.5376397381855605,0.36037427916213505,-0.049326708476556756,0.1434557282621229,0.09629881495295255,0.04999702932034188,-0.06315940503543524,-0.013162375715093357,0.08313643923785918,0.2265921674999821,0.17726545902342533,0.5376397381855604,0.3110475706855783,0.45450329894770125,0.5508021139006538,0.6007991432209957,0.5376397381855604
2024-08-22,61156.03,61400.0,59724.87,60375.84,1718280,1724284800.0,-0.012839442327577983,-0.2238633396505206,-0.5093831605859096,0.027664674667842438,0.18374419354430926,0.09538124857947927,0.03926726760584662,-0.060537563462088495,-0.021270295856241878,0.0741109527232374,0.2578551462675467,0.28551982093538913,-0.22386333965052047,-0.48171848591806715,-0.2979742923737579,-0.20259304379427862,-0.163325776188432,-0.2238633396505205
2024-08-23,60375.83,64955.0,60342.14,64037.24,2555682,1724371200.0,0.05887576421662603,0.9022229522516583,0.49646463085921433,0.1823606511399978,0.17100519378145976,0.08334709632742549,0.02680205161664295,-0.05775667147308228,-0.03095461985643933,0.05239247647098616,0.22339767025244592,0.4057583213924437,0.902222952251658,0.6788252819992121,0.8498304757806718,0.9331775721080973,0.9599796237247402,0.9022229522516579
2024-08-24,64037.24,64494.5,63531.0,64157.01,1551856,1724457600.0,0.0018685710918962383,0.00708478266401779,-0.25963050248341973,0.18219596852740755,0.07075428072523225,0.05552748848834734,0.013211016356471544,-0.05497346895002122,-0.04176245259354967,0.013765035894797668,0.08451931662002993,0.2667152851474375,0.007084782664017741,-0.07743453395601219,-0.006680253230779934,0.04884723525756741,0.06205825161403895,0.007084782664017734
2024-08-25,64157.02,65000.0,63773.27,64220.0,1263065,1724544000.0,0.0009813284334161388,-0.006846876233031492,0.08635815295463636,-0.0015641709170332264,-0.05875138956487335,0.018891272632538474,0.000384697144386316,-0.05216543848268598,-0.051780741338299664,-0.03288946870576119,-0.09164085827063453,-0.09320502918766777,-0.0068468762330314015,0.08479398203760313,0.026042592472729782,0.044933865105268256,0.045318562249654575,-0.006846876233031408
2024-08-26,64219.99,64481.0,62800.0,62834.0,2152841,1724630400.0,-0.021818360418123024,-0.3648520792094451,0.10303175311739447,-0.22625190942625253,-0.16338169095602836,-0.017576605156398212,-0.011482077755597056,-0.04919154903256329,-0.06067362678816035,-0.07825023194455856,-0.24163192290058694,-0.4678838323268395,-0.364852079209445,-0.12322015630885806,-0.2866018472648864,-0.3041784524212846,-0.31566053017688167,-0.36485207920944496
2024-08-27,62834.0,63212.0,58034.01,59415.0,2995281,1724716800.0,-0.05594960850125526,-0.9007876561116356,-0.3155973509371476,-0.26105487615985434,-0.20560108925027176,-0.050369543301846106,-0.022208160820182395,-0.04595663564233312,-0.06816479646251551,-0.11853433976436162,-0.3241354290146334,-0.5851903051744878,-0.9007876561116354,-0.5766522270970019,-0.7822533163472737,-0.8326228596491198,-0.8548310204693021,-0.9007876561116352
